Usuario_Id,Edad,Genero
215,20,F
15023,55,M
5016,42,M
11074,26,M
5415,56,M
2450,31,M
746,19,M
300,33,M
20433,41,M
20444,21,M
5753,27,F
5541,28,F
1326,33,M
743,37,M
16577,31,M
15664,60,M
12755,24,M
4565,25,F
1573,31,F
10073,33,M
6473,25,M
4015,52,M
5156,41,M
17300,50,M
17402,30,M
13305,46,M
5643,47,M
20114,27,M
13131,37,M
6520,29,M
1235,29,F
5707,28,M
10404,28,M
17567,38,M
16772,17,F
14245,36,M
20411,25,M
462,23,M
10522,28,F
677,30,M
6462,32,M
1411,34,M
5244,32,M
20463,39,M
20466,49,M
17223,24,M
15213,50,M
17311,39,F
13574,45,M
11716,49,M
16244,24,F
2525,25,M
3776,28,M
12122,28,F
3102,32,M
12075,20,M
20262,27,M
16646,18,F
15254,26,M
377,45,M
16332,50,M
17033,56,M
20356,46,M
622,30,M
16005,36,F
13035,34,F
20072,25,F
20045,53,M
15163,29,M
4111,39,M
13500,49,M
7516,57,M
11102,35,F
1524,37,M
11124,24,M
12106,50,M
6757,46,M
1430,27,M
15372,28,M
20471,23,F
4463,47,M
20246,21,M
5522,22,M
13233,52,F
2560,66,M
20477,33,M
17507,23,M
2324,23,M
15301,58,M
15034,37,M
15106,26,F
17366,29,M
347,28,M
20276,37,M
15050,19,M
6044,47,M
16723,24,M
10321,29,M
2503,32,F
16472,47,M
5404,29,M
10230,21,M
14341,24,M
7736,32,M
13627,26,F
355,26,M
2737,28,M
11052,28,M
7527,33,M
12315,19,F
20100,23,M
20144,37,F
20147,33,M
14300,19,M
20505,46,M
16756,19,M
5434,31,M
1361,28,M
7042,44,F
2211,30,M
10563,23,M
3440,22,M
13203,27,M
3432,25,M
15626,30,M
1012,25,F
1557,35,F
1254,26,F
1072,27,M
3526,27,M
3470,36,F
12312,30,M
4626,25,M
5635,38,M
12436,34,F
15711,33,F
12733,34,M
17360,41,M
5605,45,M
13475,30,M
16461,33,F
17465,31,M
10602,42,M
10530,47,M
13450,27,F
7634,44,M
14454,27,M
10533,23,M
17427,24,M
11515,29,M
13423,38,M
4061,28,M
3033,17,M
17041,30,M
16203,32,M
11410,33,M
12367,32,M
16442,49,M
4064,36,F
4447,27,F
2057,29,M
13230,29,M
3705,31,M
20213,18,F
13662,26,M
11713,28,F
1477,41,F
16107,41,F
5676,27,F
17641,49,M
13277,26,M
10327,32,M
13112,44,F
16450,52,F
20056,24,M
16225,28,M
17121,32,M
13241,46,M
10621,39,M
12417,29,M
12444,19,M
15337,23,M
