Date,Count
2015-11-26,1822
2015-11-27,1559
2015-11-28,1220
2015-11-29,896
2015-11-30,1978
2015-12-01,2044
2015-12-02,1985
2015-12-03,2019
2015-12-04,1769
2015-12-05,1106
2015-12-06,803
2015-12-07,1798
2015-12-08,1935
2015-12-09,1860
2015-12-10,1843
2015-12-11,1653
2015-12-12,754
2015-12-13,798
2015-12-14,1634
2015-12-15,1799
2015-12-16,1717
2015-12-17,1700
2015-12-18,1543
2015-12-19,956
2015-12-20,737
2015-12-21,1290
2015-12-22,1310
2015-12-23,1319
2015-12-24,687
2015-12-25,279
2015-12-26,583
2015-12-27,688
2015-12-28,1134
2015-12-29,1126
2015-12-30,1087
2015-12-31,741
2016-01-01,351
2016-01-02,728
2016-01-03,856
2016-01-04,1450
2016-01-05,1527
2016-01-06,1635
2016-01-07,1698
2016-01-08,1627
2016-01-09,950
2016-01-10,842
2016-01-11,1754
2016-01-12,1716
2016-01-13,1615
2016-01-14,1814
2016-01-15,1799
2016-01-16,1037
2016-01-17,898
2016-01-18,1881
2016-01-19,1999
2016-01-20,1893
2016-01-21,1934
2016-01-22,1852
2016-01-23,1112
2016-01-24,936
2016-01-25,1827
2016-01-26,1922
2016-01-27,2039
2016-01-28,1881
2016-01-29,1835
2016-01-30,1125
2016-01-31,784
2016-02-01,796
2016-02-02,1898
2016-02-03,1922
2016-02-04,1987
2016-02-05,1960
2016-02-06,1177
2016-02-07,820
2016-02-08,1820
2016-02-09,1922
2016-02-10,1886
2016-02-11,1925
2016-02-12,1974
2016-02-13,1103
2016-02-14,942
2016-02-15,1939
2016-02-16,1927
2016-02-17,2077
2016-02-18,1994
2016-02-19,1915
2016-02-20,1156
2016-02-21,838
2016-02-22,1956
2016-02-23,2015
2016-02-24,2131
2016-02-25,2047
2016-02-26,1883
2016-02-27,1122
2016-02-28,892
2016-02-29,2017
2016-03-01,2203
2016-03-02,2210
2016-03-03,2082
2016-03-04,2014
2016-03-05,1308
2016-03-06,1014
2016-03-07,2142
2016-03-08,2280
2016-03-09,1307
2016-03-10,2002
2016-03-11,1945
2016-03-12,1212
2016-03-13,896
2016-03-14,2135
2016-03-15,2235
2016-03-16,2261
2016-03-17,2259
2016-03-18,2156
2016-03-19,1202
2016-03-20,864
2016-03-21,1042
2016-03-22,1404
2016-03-23,1387
2016-03-24,899
2016-03-25,679
2016-03-26,711
2016-03-27,805
2016-03-28,1781
2016-03-29,1794
2016-03-30,1745
2016-03-31,1792
2016-04-01,1815
2016-04-02,1171
2016-04-03,916
