Date,Mean distance
2016-12-28,2.556726161268404
2016-12-29,2.4140574449692114
2016-12-30,2.2373221078244883
2016-12-31,2.485220908410624
2017-01-01,1.5548509239365544
2017-01-02,1.6237140208828624
2017-01-03,1.7241342016115235
2017-01-04,1.8500364086226726
2017-01-05,1.903179325573124
2017-01-06,1.8420345999675911
2017-01-07,1.9445339338180236
2017-01-08,2.1894739846524267
2017-01-09,2.050797441400836
2017-01-10,2.100501274288651
2017-01-11,2.0930673586489466
2017-01-12,2.1897525988263338
2017-01-13,2.1538078593929586
2017-01-14,2.1585591923164964
2017-01-15,2.5728069030821774
2017-01-16,2.3050100037671597
2017-01-17,2.296988770202962
2017-01-18,2.3990354340774567
2017-01-19,2.4974345729910614
2017-01-20,2.414774422832493
2017-01-21,2.390239077513208
2017-01-22,2.5837274635080627
2017-01-23,2.5773994996238017
2017-01-24,2.6322531084115646
2017-01-25,2.5628178398925363
2017-01-26,2.74579594539017
2017-01-27,2.727940523130438
2017-01-28,2.6010996986178383
2017-01-29,2.9206358824366916
2017-01-30,2.752371630638636
2017-01-31,2.586380153618865
2017-02-01,1.6578428965994187
2017-02-02,1.7767523084218775
2017-02-03,1.8571396774088114
2017-02-04,1.9377117812890743
2017-02-05,2.1098767833338856
2017-02-06,1.971673396000555
2017-02-07,2.104369851911523
2017-02-08,2.1585246561657425
2017-02-09,2.259967137532937
2017-02-10,2.182915560835085
2017-02-11,2.2080763250500577
2017-02-12,2.4642471178174614
2017-02-13,2.3921292472824205
2017-02-14,2.372703218357948
2017-02-15,2.425797754019089
2017-02-16,2.4209197572525065
2017-02-17,2.6028044835963673
2017-02-18,2.4096403281897487
2017-02-19,2.661355248527392
2017-02-20,2.542371132642853
2017-02-21,2.66628229931666
2017-02-22,2.725533935550192
2017-02-23,2.5604378137545787
2017-02-24,2.5171685667640404
2017-02-25,2.5303695448354993
2017-02-26,3.1189021448850793
2017-02-27,2.8421840345591987
2017-02-28,2.745247770161416
2017-03-01,1.6875889030662239
2017-03-02,1.7983705412898523
2017-03-03,1.8731230050707097
2017-03-04,1.843984184838212
2017-03-05,2.225160813589477
2017-03-06,2.1057879165816162
2017-03-07,2.1462621553028494
2017-03-08,2.224133112636597
2017-03-09,2.1593163568684197
2017-03-10,2.2876881917433116
2017-03-11,2.2570397672312965
2017-03-12,2.6084690944060793
2017-03-13,2.404524769986455
2017-03-14,2.479178775236962
2017-03-15,2.4017388112055253
2017-03-16,2.661845585639533
2017-03-17,2.4850240647242123
2017-03-18,2.6611040556996968
2017-03-19,2.7073378605396536
2017-03-20,2.791868653512747
2017-03-21,2.569668262659988
2017-03-22,2.7573811823934986
2017-03-23,2.6726434593633956
2017-03-24,2.783295545173756
2017-03-25,2.5488795033528624
2017-03-26,2.8126922915607824
2017-03-27,2.7052975760059863
2017-03-28,2.7840347074176583
2017-03-29,2.9352869556806382
2017-03-30,2.977894461759336
2017-03-31,2.708616395541823
2017-04-01,1.5214905325306056
2017-04-02,1.725654858919373
2017-04-03,1.8332432788501327
2017-04-04,1.97799796612372
2017-04-05,2.046347836750619
2017-04-06,2.1064614483074644
2017-04-07,2.176682170344528
2017-04-08,2.13367439584521
2017-04-09,2.387022658203021
2017-04-10,2.224009158191033
2017-04-11,2.2477887763175075
2017-04-12,2.3028315833705744
2017-04-13,2.1414956032494286
2017-04-14,2.3583348557107255
2017-04-15,2.233712105614761
2017-04-16,2.7445977596966853
2017-04-17,2.2752663253277894
2017-04-18,2.280020278385936
2017-04-19,2.478406029779921
2017-04-20,2.5895316384514544
2017-04-21,2.654388422231214
2017-04-22,2.450945372448541
2017-04-23,2.9591935996927163
2017-04-24,2.8043704936016702
2017-04-25,2.638850475720958
2017-04-26,2.7432026557395206
2017-04-27,2.6130657596908446
2017-04-28,2.5584805065827774
2017-04-29,2.572130628409015
2017-04-30,3.0080743917447363
2017-05-01,1.4807914051179905
2017-05-02,1.7345961551356293
2017-05-03,1.9037208436540243
2017-05-04,1.987099053019842
2017-05-05,1.974833632305046
2017-05-06,2.013949102777957
2017-05-07,2.2924037443852576
2017-05-08,2.186082480303099
2017-05-09,2.3430857907893086
2017-05-10,2.3304428652793807
2017-05-11,2.2438891884385246
2017-05-12,2.3553782404125405
2017-05-13,2.3569368814228304
2017-05-14,2.538490070414221
2017-05-15,2.356429734179499
2017-05-16,2.5477028066611958
2017-05-17,2.5635637981095365
2017-05-18,2.579879502475872
2017-05-19,2.4908214528521895
2017-05-20,2.4519365020778614
2017-05-21,2.7059248344736107
2017-05-22,2.7543253327143957
2017-05-23,2.5554680945706165
2017-05-24,2.700589333685655
2017-05-25,2.6278898505068837
2017-05-26,2.570948689155534
2017-05-27,2.6064514509985885
2017-05-28,3.1798824882423684
2017-05-29,2.744975837844678
2017-05-30,2.7347169724297204
2017-05-31,2.877012422555289
2017-06-01,1.6612000064094818
2017-06-02,1.7582739882285459
2017-06-03,1.7491316898280864
2017-06-04,2.068827928630903
2017-06-05,2.023248762572553
2017-06-06,2.0918256985528427
2017-06-07,2.106085334070742
2017-06-08,2.1761262563625268
2017-06-09,2.0905790237529405
2017-06-10,2.1957350637630912
2017-06-11,2.6482790252696287
2017-06-12,2.3959946123394342
2017-06-13,2.333772435551306
2017-06-14,2.447981032513294
2017-06-15,2.445649407533463
2017-06-16,2.4414237030238715
2017-06-17,2.3861425953590043
2017-06-18,2.737593000597366
2017-06-19,2.535107105539473
2017-06-20,2.52444403136342
2017-06-21,2.5278786492674055
2017-06-22,2.7430052594012277
2017-06-23,2.7087127457994837
2017-06-24,2.5741852978538917
2017-06-25,3.192483155244253
2017-06-26,2.7122966987485997
2017-06-27,2.8103150201236935
2017-06-28,2.8178535219766183
2017-06-29,2.6603446077616666
2017-06-30,2.6570456875199304
2017-07-01,1.4870069418483807
2017-07-02,1.773035839086956
2017-07-03,1.8184390248051707
2017-07-04,1.9883659107371576
2017-07-05,2.063398378080867
2017-07-06,2.0956725679000914
2017-07-07,2.127174156780366
2017-07-08,1.9739094295791366
2017-07-09,2.6576628275609533
2017-07-10,2.25976628258632
2017-07-11,2.2477636897542976
2017-07-12,2.344528103677092
2017-07-13,2.320977440438553
2017-07-14,2.360164671576607
2017-07-15,2.2965095116239223
2017-07-16,2.8351757779295395
2017-07-17,2.497088849915055
2017-07-18,2.5294835486046114
2017-07-19,2.588105406643758
2017-07-20,2.6589448419518438
2017-07-21,2.572141629885056
2017-07-22,2.4365668674292214
2017-07-23,2.9571529970556085
2017-07-24,2.569636782244498
2017-07-25,2.853527604881692
2017-07-26,2.7298987613685166
2017-07-27,2.6559944324604086
2017-07-28,2.717988754881926
2017-07-29,2.771243554904944
2017-07-30,3.059128477164308
2017-07-31,2.8680809539250327
2017-08-01,1.6595671243345136
2017-08-02,1.8172851550266154
2017-08-03,1.8190833779123425
2017-08-04,1.909575882250405
2017-08-05,1.9909672093853854
2017-08-06,2.367244847430217
2017-08-07,2.210537011809122
2017-08-08,2.288122364607079
2017-08-09,2.296662323179546
2017-08-10,2.3210482639696517
2017-08-11,2.168529892752114
2017-08-12,2.2166820021589655
2017-08-13,2.5164319374576354
2017-08-14,2.507009969071586
2017-08-15,2.5213894812167355
2017-08-16,2.551880504800875
2017-08-17,2.5172342374373655
2017-08-18,2.672432793495076
2017-08-19,2.5872109277992617
2017-08-20,3.0114811846700253
2017-08-21,2.6298759960750697
2017-08-22,2.6222485578946273
2017-08-23,2.694173527480728
2017-08-24,2.6701129296545156
2017-08-25,2.6483735651819473
2017-08-26,2.6880691074529266
2017-08-27,3.3504446636893177
2017-08-28,3.059662532758533
2017-08-29,2.67655327591744
2017-08-30,2.7791601288412906
2017-08-31,2.874797817535032
2017-09-01,1.6167717287702
2017-09-02,1.718546277087564
2017-09-03,1.931346608524674
2017-09-04,1.9686945691377864
2017-09-05,2.044704887582963
2017-09-06,2.0670021074151257
2017-09-07,2.1564463360940342
2017-09-08,2.2995804671597466
2017-09-09,2.2297031818450974
2017-09-10,2.5661660492373333
2017-09-11,2.442194314190498
2017-09-12,2.4606492490483713
2017-09-13,2.501913763829018
2017-09-14,2.4354614764457243
2017-09-15,2.467364507014856
2017-09-16,2.4795222737424956
2017-09-17,2.9316092701369785
2017-09-18,2.597097154049554
2017-09-19,2.750578800878934
2017-09-20,2.816496792055244
2017-09-21,2.670657002944816
2017-09-22,2.6418427726459806
2017-09-23,2.622718949290014
2017-09-24,3.061913221634079
2017-09-25,2.7767164997029075
2017-09-26,2.9207722181957574
2017-09-27,2.7083404067068884
2017-09-28,2.7297565696993127
2017-09-29,2.9639260578962268
2017-09-30,2.6928377106572716
2017-10-01,1.5500933860797854
2017-10-02,1.7577088368918887
2017-10-03,1.90767200081641
2017-10-04,2.0610206735939554
2017-10-05,2.140104100327637
2017-10-06,2.244476438828171
2017-10-07,2.1548290012305547
2017-10-08,2.366671811780568
2017-10-09,2.3962397173246095
2017-10-10,2.3766974383885424
2017-10-11,2.417447667297569
2017-10-12,2.42427541854345
2017-10-13,2.440513524267944
2017-10-14,2.3566220332043613
2017-10-15,2.887839602434084
2017-10-16,2.635693448808376
2017-10-17,2.7264681455200055
2017-10-18,2.735028080814644
2017-10-19,2.7203289198890346
2017-10-20,2.7224690473909594
2017-10-21,2.6362032509977604
2017-10-22,3.2247504164457483
2017-10-23,2.693456801641189
2017-10-24,2.9847068037001216
2017-10-25,2.775317070303542
2017-10-26,2.9503580902324735
2017-10-27,2.9136980737731566
2017-10-28,2.978974573710727
2017-10-29,3.502027317821773
2017-10-30,2.9537892852645284
2017-10-31,2.9992900629772845
2017-11-01,1.6876657994291764
2017-11-02,1.800620234162656
2017-11-03,1.9060067264647496
2017-11-04,1.8896635291162833
2017-11-05,2.3006178490128346
2017-11-06,2.1690269508483917
2017-11-07,2.2537334197277503
2017-11-08,2.2777663480494237
2017-11-09,2.35631997268335
2017-11-10,2.359619457903285
2017-11-11,2.4252191086087564
2017-11-12,2.7021509223326525
2017-11-13,2.5063029128723793
2017-11-14,2.585976240649833
2017-11-15,2.624265604979445
2017-11-16,2.5681350955211757
2017-11-17,2.593685557022884
2017-11-18,2.6771440461179914
2017-11-19,3.004437002208212
2017-11-20,2.8018031606265943
2017-11-21,2.6308708903449545
2017-11-22,2.731727968756404
2017-11-23,2.773120933609582
2017-11-24,2.871179512427041
2017-11-25,2.7289849370183585
2017-11-26,3.5694928282111826
2017-11-27,2.7629838704948524
2017-11-28,2.978418810682102
2017-11-29,3.006054556678368
2017-11-30,2.96355075177731
2017-12-01,1.6397008039160916
2017-12-02,1.7091749460986039
2017-12-03,2.0209231841516915
2017-12-04,2.0103176745897517
2017-12-05,2.067181210006779
2017-12-06,2.122770217054785
2017-12-07,2.193036135742242
2017-12-08,2.2542579898540964
2017-12-09,2.2512233688385552
2017-12-10,2.390372843011285
2017-12-11,2.234409001447435
2017-12-12,2.4133650182085282
2017-12-13,2.3869115658798825
2017-12-14,2.3676867302476174
2017-12-15,2.530600605582444
2017-12-16,2.3824343304036257
2017-12-17,2.779321850302078
2017-12-18,2.4656898746469973
2017-12-19,2.5384863116042635
2017-12-20,2.5084621499909745
2017-12-21,2.6053615399944077
2017-12-22,2.524128301684548
2017-12-23,2.6012636389182258
2017-12-24,3.090377299128314
2017-12-25,2.4880221007762255
2017-12-26,2.677179245653643
2017-12-27,2.564987143746156
2017-12-28,2.6166162357363287
2017-12-29,2.8928956632463065
2017-12-30,2.8102388490888615
2017-12-31,3.0733801403959005
2018-01-01,1.457471039824908
2018-01-02,1.6393631615202024
2018-01-03,1.7594912584767346
2018-01-04,1.8995243746992692
2018-01-05,1.8936141978947332
2018-01-06,1.9401263834474887
2018-01-07,2.284054727612421
2018-01-08,2.1925016319422843
2018-01-09,2.1921053065063636
2018-01-10,2.285347319716592
2018-01-11,2.361972970305699
2018-01-12,2.3723814835627137
2018-01-13,2.2552265029605034
2018-01-14,2.699811929017778
2018-01-15,2.3545955609981193
2018-01-16,2.6127838026408425
2018-01-17,2.501231245945982
2018-01-18,2.669178277886433
2018-01-19,2.6084378579890455
2018-01-20,2.4918975681255002
2018-01-21,3.1418019900955136
2018-01-22,2.7794545063036145
2018-01-23,2.6618916682000084
2018-01-24,2.6720081710629957
2018-01-25,2.8031237411058636
2018-01-26,2.7913538805563127
2018-01-27,2.548414958268159
2018-01-28,3.523104518436469
2018-01-29,2.9473256268871655
2018-01-30,2.838659113950654
2018-01-31,2.848964923828139
2018-02-01,1.6605601406616366
2018-02-02,1.8327066224824153
2018-02-03,1.8390984702203406
2018-02-04,2.106825367128272
2018-02-05,2.0337067439454573
2018-02-06,2.0909216047236363
2018-02-07,2.2315239246777874
2018-02-08,2.277590563684834
2018-02-09,2.3091722139064257
2018-02-10,2.316235409203193
2018-02-11,2.543119748359623
2018-02-12,2.4964457148199855
2018-02-13,2.550549779104311
2018-02-14,2.6328414303689387
2018-02-15,2.560096405977111
2018-02-16,2.5992994769166677
2018-02-17,2.685423516340431
2018-02-18,3.0735882103479444
2018-02-19,2.6064621258387795
2018-02-20,2.7902748498902232
2018-02-21,2.849313597541861
2018-02-22,2.933669822898548
2018-02-23,2.8543642660101374
2018-02-24,2.896131135622151
2018-02-25,3.456395053426614
2018-02-26,2.943955686329067
2018-02-27,2.9870712979036216
2018-02-28,3.0677534412620338
2018-03-01,1.7523276028430825
2018-03-02,1.9090044444285004
2018-03-03,1.9372433020754645
2018-03-04,2.27096096582052
2018-03-05,2.1805210923845646
2018-03-06,2.260912402437388
2018-03-07,2.338775912065981
2018-03-08,2.3787838814033546
2018-03-09,2.449483108101984
2018-03-10,2.369067344540075
2018-03-11,2.8803060797977933
2018-03-12,2.5095265955965296
2018-03-13,2.6510224322303544
2018-03-14,2.60433272339098
2018-03-15,2.7335427280118125
2018-03-16,2.741348467732778
2018-03-17,2.7850120395104794
2018-03-18,3.0883994248332436
2018-03-19,2.778794899195881
2018-03-20,2.75280197645742
2018-03-21,2.8593866725720822
2018-03-22,2.978199412922685
2018-03-23,2.94964055294008
2018-03-24,2.7947863143647558
2018-03-25,3.3626938510615973
